GeneID,Symbol,Chromosomes,GRCh38_start,GRCh38_stop
410,ARSA,22,50622754,50628152
411,ARSB,5,78777209,78985958
412,STS,X,7147290,7354641
414,ARSD,X,2903972,2929339
415,ARSL,X,2934521,2968245
416,ARSF,X,3040234,3112727
417,ART1,11,3645128,3664416
419,ART3,4,76011190,76112786
420,ART4,12,14825569,14843526
421,ARVCF,22,19965134,20016823
427,ASAH1,8,18055992,18084961
429,ASCL1,12,102957674,102960513
430,ASCL2,11,2268498,2270588
432,ASGR1,17,7173431,7179370
433,ASGR2,17,7101322,7115146
434,ASIP,20,34186493,34269344
435,ASL,7,66075819,66093576
438,ASMT,"X,Y",1595455,1643081
438,ASMT,"X,Y",1595455,1643081
439,GET3,19,12737106,12748323
440,ASNS,7,97851677,97928441
443,ASPA,17,3474110,3503405
444,ASPH,8,61500556,61714592
445,ASS1,9,130444707,130501274
460,ASTN1,1,176857321,177164712
462,SERPINC1,1,173903800,173917327
463,ZFHX3,16,72782885,73891930
466,ATF1,12,50763459,50821162
467,ATF3,1,212565407,212620777
468,ATF4,22,39520559,39522686
471,ATIC,2,215312059,215368592
472,ATM,11,108223067,108369102
473,RERE,1,8352404,8817640
474,ATOH1,4,93828753,93830964
475,ATOX1,5,151742822,151758631
476,ATP1A1,1,116373244,116404774
477,ATP1A2,1,160115759,160143591
478,ATP1A3,19,41966582,41994230
479,ATP12A,13,24680408,24712472
480,ATP1A4,1,160151603,160186980
481,ATP1B1,1,169106690,169132719
482,ATP1B2,17,7646627,7657770
483,ATP1B3,3,141876643,141926549
486,FXYD2,11,117820057,117828089
487,ATP2A1,16,28878488,28904466
488,ATP2A2,12,110281247,110351093
489,ATP2A3,17,3923873,3964437
490,ATP2B1,12,89588049,89709366
491,ATP2B2,3,10324023,10708007
492,ATP2B3,X,153517642,153582929
493,ATP2B4,1,203626832,203744081
495,ATP4A,19,35550031,35563658
496,ATP4B,13,113648804,113658198
498,ATP5F1A,18,46080248,46104227
501,ALDH7A1,5,126541841,126595219
506,ATP5F1B,12,56638175,56645984
509,ATP5F1C,10,7788177,7807801
513,ATP5F1D,19,1241751,1244825
514,ATP5F1E,20,59025475,59032335
515,ATP5PB,1,111449464,111462773
516,ATP5MC1,17,48892787,48895871
517,ATP5MC2,12,53665170,53681423
518,ATP5MC3,2,175176258,175181710
521,ATP5ME,4,672436,674276
522,ATP5PF,21,25724500,25735653
523,ATP6V1A,3,113747035,113812056
525,ATP6V1B1,2,70935900,70965431
526,ATP6V1B2,8,20197381,20221696
527,ATP6V0C,16,2513726,2520218
528,ATP6V1C1,8,103021083,103073051
529,ATP6V1E1,22,17592136,17628822
533,ATP6V0B,1,43974960,43978295
534,ATP6V1G2,6,31544444,31546742
535,ATP6V0A1,17,42458878,42522579
537,ATP6AP1,X,154428677,154436516
538,ATP7A,X,77910693,78050395
539,ATP5PO,21,33903453,33915804
540,ATP7B,13,51932669,52012132
545,ATR,3,142449235,142578733
546,ATRX,X,77504880,77786216
547,KIF1A,2,240713767,240821403
549,AUH,9,91213823,91361918
550,AUP1,2,74526652,74529706
551,AVP,20,3082556,3084724
552,AVPR1A,12,63142759,63151201
553,AVPR1B,1,206106936,206117388
554,AVPR2,X,153902625,153907166
558,AXL,19,41219223,41261766
563,AZGP1,7,99966730,99976031
566,AZU1,19,827837,832018
567,B2M,15,44711517,44718145
570,BAAT,9,101360417,101385006
571,BACH1,21,29298922,29361894
572,BAD,11,64269828,64284704
573,BAG1,9,33252471,33264708
575,ADGRB1,8,142449649,142545007
576,ADGRB2,1,31727117,31764340
577,ADGRB3,6,68635282,69389506
578,BAK1,6,33572552,33580276
579,NKX3-2,4,13540830,13547744
580,BARD1,2,214725646,214809683
581,BAX,19,48954875,48961798
582,BBS1,11,66510635,66533598
583,BBS2,16,56470403,56520024
585,BBS4,15,72686207,72738473
586,BCAT1,12,24810024,24949101
587,BCAT2,19,48795064,48811029
590,BCHE,3,165772904,165837423
593,BCKDHA,19,41397818,41425002
594,BCKDHB,6,80106610,80466676
595,CCND1,11,69641156,69654474
596,BCL2,18,63123346,63320090
597,BCL2A1,15,79960892,79971196
598,BCL2L1,20,31664452,31723963
599,BCL2L2,14,23306833,23311751
602,BCL3,19,44747705,44760044
604,BCL6,3,187721377,187745468
605,BCL7A,12,122021884,122062044
607,BCL9,1,147541501,147626216
608,TNFRSF17,16,11965210,11968068
610,HCN2,19,589881,617159
611,OPN1SW,7,128772485,128775794
613,BCR,22,23180509,23318037
617,BCS1L,2,218658743,218663443
622,BDH1,3,197509783,197573343
623,BDKRB1,14,96256210,96264763
624,BDKRB2,14,96204839,96244164
627,BDNF,11,27654893,27722030
629,CFB,6,31946095,31952084
631,BFSP1,20,17493905,17569220
632,BGLAP,1,156242184,156243317
633,BGN,X,153494980,153509546
634,CEACAM1,19,42507306,42528481
635,BHMT,5,79111809,79132288
636,BICD1,12,32106847,32383633
637,BID,22,17734138,17774665
638,BIK,22,43110750,43129712
639,PRDM1,6,105992690,106109938
640,BLK,8,11494387,11564599
641,BLM,15,90717346,90816166
642,BLMH,17,30248203,30291944
643,CXCR5,11,118883892,118897787
644,BLVRA,7,43758122,43807342
645,BLVRB,19,40447768,40465745
646,BNC1,15,83255884,83284664
648,BMI1,10,22321099,22331484
649,BMP1,8,22165372,22212326
650,BMP2,20,6767686,6780246
651,BMP3,4,81030708,81057627
652,BMP4,14,53949736,53956891
653,BMP5,6,55753653,55875590
654,BMP6,6,7726099,7881728
655,BMP7,20,57168753,57266641
656,BMP8B,1,39757182,39788865
657,BMPR1A,10,86755763,86927969
658,BMPR1B,4,94757955,95158450
659,BMPR2,2,202376327,202567749
660,BMX,X,15500807,15556519
661,POLR3D,8,22245133,22254601
662,BNIP1,5,173144531,173164387
663,BNIP2,15,59659146,59689320
664,BNIP3,10,131967684,131981923
665,BNIP3L,8,26383054,26413127
666,BOK,2,241551393,241574131
667,DST,6,56457996,56954830
668,FOXL2,3,138944224,138947137
669,BPGM,7,134646853,134679816
670,BPHL,6,3118376,3153578
671,BPI,20,38304156,38337505
672,BRCA1,17,43044295,43125364
673,BRAF,7,140713328,140924929
675,BRCA2,13,32315508,32400268
676,BRDT,1,91949371,92014428
677,ZFP36L1,14,68787655,68796243
678,ZFP36L2,2,43222402,43226606
680,BRS3,X,136487947,136493780
682,BSG,19,571283,583493
683,BST1,4,15703065,15774173
684,BST2,19,17402939,17405630
685,BTC,4,74744759,74794523
686,BTD,3,15601352,15722516
687,KLF9,9,70384604,70414657
688,KLF5,13,73054976,73077538
689,BTF3,5,73498442,73505667
694,BTG1,12,92140278,92145846
695,BTK,X,101349450,101390796
696,BTN1A1,6,26500303,26510425
699,BUB1,2,110637528,110678063
701,BUB1B,15,40161069,40221123
705,BYSL,6,41908759,41933046
706,TSPO,22,43151559,43163242
708,C1QBP,17,5432777,5439155
710,SERPING1,11,57597685,57614848
712,C1QA,1,22636463,22639678
713,C1QB,1,22653236,22661637
714,C1QC,1,22643633,22648108
715,C1R,12,7080219,7092445
716,C1S,12,7060718,7071032
717,C2,6,31897783,31945672
718,C3,19,6677704,6720650
719,C3AR1,12,8056844,8066359
720,C4A,6,31982057,32002681
721,C4B,6,32014795,32035418
722,C4BPA,1,207104233,207144972
725,C4BPB,1,207088860,207099993
726,CAPN5,11,77066971,77126155
727,C5,9,120952335,121074865
728,C5AR1,19,47307477,47322066
729,C6,5,41142116,41261469
730,C7,5,40909497,40984643
731,C8A,1,56854797,56918223
732,C8B,1,56929207,56966015
733,C8G,9,136945243,136946975
734,OSGIN2,8,89901868,89927888
735,C9,5,39284140,39364495
738,VPS51,11,65096214,65111862
740,MRPL49,11,65122183,65127371
741,ZNHIT2,11,65116403,65117701
744,MPPED2,11,30384079,30586993
745,MYRF,11,61752636,61788518
746,TMEM258,11,61788949,61792599
747,DAGLA,11,61680391,61747001
752,FMNL1,17,45221885,45247318
753,LDLRAD4,18,13217682,13652754
754,PTTG1IP,21,44849598,44873690
755,CFAP410,21,44328944,44339390
757,TMEM50B,21,33432486,33479974
758,MPPED1,22,43412014,43507848
759,CA1,8,85327608,85378113
760,CA2,8,85464007,85481493
761,CA3,8,85438859,85449040
762,CA4,17,60149973,60179021
763,CA5A,16,87881549,87936529
765,CA6,1,8945868,8975092
766,CA7,16,66844414,66854147
767,CA8,8,60185412,60281400
768,CA9,9,35673928,35681159
770,CA11,19,48637946,48646187
771,CA12,15,63321378,63381846
773,CACNA1A,19,13206442,13506479
774,CACNA1B,9,137877782,138124619
775,CACNA1C,12,1970780,2697950
776,CACNA1D,3,53494611,53813733
777,CACNA1E,1,181317699,181808084
778,CACNA1F,X,49205063,49233340
779,CACNA1S,1,201039512,201112426
780,DDR1,6,30880970,30900156
781,CACNA2D1,7,81946444,82443956
782,CACNB1,17,39173453,39197669
783,CACNB2,10,18140424,18543557
784,CACNB3,12,48814480,48828941
785,CACNB4,2,151832771,152099167
786,CACNG1,17,67044554,67056797
788,SLC25A20,3,48856926,48898882
790,CAD,2,27217369,27243943
793,CALB1,8,90058608,90082879
794,CALB2,16,71358723,71390433
795,S100G,X,16650158,16654670
796,CALCA,11,14966668,14972351
797,CALCB,11,15073593,15078637
799,CALCR,7,93424486,93574724
800,CALD1,7,134745467,134970729
801,CALM1,14,90396502,90408268
805,CALM2,2,47160082,47176936
808,CALM3,19,46601074,46610782
810,CALML3,10,5524961,5526771
811,CALR,19,12938609,12944489
813,CALU,7,128739359,128773400
814,CAMK4,5,111223583,111494886
815,CAMK2A,5,150219491,150290130
816,CAMK2B,7,44217154,44326013
817,CAMK2D,4,113451032,113761738
818,CAMK2G,10,73812501,73874555
819,CAMLG,5,134738548,134752157
820,CAMP,3,48223495,48225485
821,CANX,5,179678656,179731641
822,CAPG,2,85391602,85419540
823,CAPN1,11,65181373,65212006
824,CAPN2,1,223701597,223776018
825,CAPN3,15,42359501,42412317
826,CAPNS1,19,36140066,36150353
827,CAPN6,X,111245099,111270483
828,CAPS,19,5914254,5916211
829,CAPZA1,1,112619832,112671616
830,CAPZA2,7,116862587,116922049
831,CAST,5,96662037,96774683
832,CAPZB,1,19338775,19485539
833,CARS1,11,3000929,3057423
834,CASP1,11,105025443,105036686
835,CASP2,7,143288351,143307696
836,CASP3,4,184627696,184649447
837,CASP4,11,104942866,104968574
838,CASP5,11,104994243,105023168
839,CASP6,4,109664388,109709767
840,CASP7,10,113679194,113730909
841,CASP8,2,201233443,201287711
842,CASP9,1,15491401,15524912
843,CASP10,2,201183141,201229406
844,CASQ1,1,160190575,160201886
845,CASQ2,1,115700021,115768714
846,CASR,3,122183668,122291629
847,CAT,11,34438934,34472060
857,CAV1,7,116525009,116561185
858,CAV2,7,116499738,116508541
859,CAV3,3,8733802,8746758
860,RUNX2,6,45328330,45551082
861,RUNX1,21,34787801,35049302
862,RUNX1T1,8,91954967,92103385
863,CBFA2T3,16,88874858,88977207
864,RUNX3,1,24899511,24965138
865,CBFB,16,67029149,67101058
866,SERPINA6,14,94304248,94323336
867,CBL,11,119206339,119308149
868,CBLB,3,105655461,105869449
869,CBLN1,16,49277917,49281838
871,SERPINH1,11,75562253,75572783
873,CBR1,21,36070024,36073164
874,CBR3,21,36135079,36146562
875,CBS,21,43053191,43076873
881,CCIN,9,36169388,36171334
883,KYAT1,9,128832942,128882523
885,CCK,3,42257826,42266185
886,CCKAR,4,26481396,26490484
887,CCKBR,11,6259838,6272127
889,KRIT1,7,92198969,92246100
890,CCNA2,4,121816444,121823883
891,CCNB1,5,69167150,69178245
892,CCNC,6,99542387,99568814
894,CCND2,12,4273762,4305353
896,CCND3,6,41934933,42048894
898,CCNE1,19,29811991,29824312
899,CCNF,16,2429447,2458854
900,CCNG1,5,163437571,163457640
901,CCNG2,4,77157207,77170060
902,CCNH,5,87311471,87412930
904,CCNT1,12,48688458,48716707
905,CCNT2,2,134918822,134959342
908,CCT6A,7,56051765,56063989
909,CD1A,1,158248336,158258269
910,CD1B,1,158285405,158331531
911,CD1C,1,158289923,158294774
912,CD1D,1,158178030,158186427
913,CD1E,1,158353894,158357553
914,CD2,1,116754430,116769229
915,CD3D,11,118338954,118342705
916,CD3E,11,118304730,118316173
917,CD3G,11,118344344,118355161
919,CD247,1,167430640,167518529
920,CD4,12,6789528,6820799
921,CD5,11,61093963,61127852
922,CD5L,1,157827068,157841808
923,CD6,11,60971680,61020377
924,CD7,17,82314873,82317608
925,CD8A,2,86784605,86808396
926,CD8B,2,86815369,86861886
927,CD8B2,2,106487364,106544297
928,CD9,12,6199946,6238266
929,CD14,5,140631732,140633701
930,CD19,16,28931971,28939342
931,MS4A1,11,60455847,60470752
932,MS4A3,11,60056665,60071115
933,CD22,19,35329187,35347361
939,CD27,12,6444955,6451713
940,CD28,2,203706465,203738912
941,CD80,3,119524293,119559614
942,CD86,3,122055362,122121136
943,TNFRSF8,1,12063303,12144207
944,TNFSF8,9,114893343,114930595
945,CD33,19,51211076,51240016
946,SIGLEC6,19,51517819,51531670
947,CD34,1,207880972,207911125
948,CD36,7,80602207,80679274
949,SCARB1,12,124776856,124863864
950,SCARB2,4,76158737,76234532
951,CD37,19,49335406,49340606
952,CD38,4,15778328,15853232
953,ENTPD1,10,95694186,95877266
954,ENTPD2,9,137048107,137054061
955,ENTPD6,20,25195712,25228075
956,ENTPD3,3,40387184,40428744
957,ENTPD5,14,73955329,74019288
958,CD40,20,46118314,46129858
959,CD40LG,X,136648158,136660390
960,CD44,11,35139171,35232402
961,CD47,3,108043091,108091031
962,CD48,1,160678746,160711822
963,CD53,1,110871210,110899922
965,CD58,1,116514534,116571026
966,CD59,11,33703010,33736479
967,CD63,12,55725323,55729673
968,CD68,17,7579638,7582111
969,CD69,12,9752486,9760901
970,CD70,19,6581648,6591150
971,CD72,9,35609982,35646857
972,CD74,5,150401639,150412910
973,CD79A,19,41877279,41881372
974,CD79B,17,63928740,63932331
975,CD81,11,2376180,2397397
976,ADGRE5,19,14381144,14408725
977,CD151,11,832952,838831
978,CDA,1,20589097,20618903
983,CDK1,10,60778331,60794852
984,CDK11B,1,1635225,1659004
987,LRBA,4,150264435,151015727
988,CDC5L,6,44387706,44450425
989,SEPTIN7,7,35800986,35915763
990,CDC6,17,40287879,40304657
991,CDC20,1,43358981,43363203
993,CDC25A,3,48157146,48188417
994,CDC25B,20,3786951,3806115
995,CDC25C,5,138285265,138338355
996,CDC27,17,47117703,47189295
997,CDC34,19,531760,542087
998,CDC42,1,22052709,22101360
999,CDH1,16,68737292,68835537
1000,CDH2,18,27932879,28177130
1001,CDH3,16,68645310,68733771
1002,CDH4,20,61252261,61940617
1003,CDH5,16,66366691,66404784
1004,CDH6,5,31193686,31329146
1005,CDH7,18,65750252,65890337
1006,CDH8,16,61647250,62036438
1007,CDH9,5,26880597,27038586
1008,CDH10,5,24487100,24644978
1009,CDH11,16,64943753,65123744
1010,CDH12,5,21750673,22853344
1012,CDH13,16,82626969,83800640
1013,CDH15,16,89171748,89195492
1014,CDH16,16,66908122,66918885
1015,CDH17,8,94127162,94217278
1016,CDH18,5,19471296,20575713
1017,CDK2,12,55966830,55972789
1018,CDK3,17,76000855,76005998
1019,CDK4,12,57747727,57752310
1020,CDK5,7,151053815,151057897
1021,CDK6,7,92604921,92836573
1022,CDK7,5,69234795,69277430
1024,CDK8,13,26254129,26405238
1025,CDK9,9,127786034,127790792
1026,CDKN1A,6,36676463,36687332
1027,CDKN1B,12,12717368,12722369
1028,CDKN1C,11,2883218,2885775
1029,CDKN2A,9,21967752,21995324
1030,CDKN2B,9,22002903,22009313
1031,CDKN2C,1,50968706,50974634
1032,CDKN2D,19,10566460,10568979
1033,CDKN3,14,54397007,54420218
1036,CDO1,5,115804733,115816659
1039,CDR2,16,22345936,22374619
1040,CDS1,4,84583127,84651334
1041,CDSN,6,31115087,31120446
1043,CD52,1,26317958,26320523
1044,CDX1,5,150166778,150184558
1045,CDX2,13,27960918,27969315
1046,CDX4,X,73447053,73455171
1047,CLGN,4,140388453,140427648
1048,CEACAM5,19,41708626,41730433
1050,CEBPA,19,33299934,33302534
1051,CEBPB,20,50190583,50192690
1052,CEBPD,8,47736913,47738164
1053,CEBPE,14,23117306,23119255
1054,CEBPG,19,33373709,33382686
1056,CEL,9,133061981,133071861
1058,CENPA,2,26786056,26794589
1059,CENPB,20,3783851,3786740
1060,CENPC,4,67468762,67545503
1062,CENPE,4,103105811,103198343
1063,CENPF,1,214603195,214664571
1066,CES1,16,55802851,55833096
1068,CETN1,18,580380,582114
1069,CETN2,X,152826994,152830757
1070,CETN3,5,90392257,90409756
1071,CETP,16,56961950,56983845
1072,CFL1,11,65854673,65858180
1073,CFL2,14,34709113,34714593
1075,CTSC,11,88293592,88337736
1080,CFTR,7,117480025,117668665
1081,CGA,6,87085498,87095106
1082,CGB3,19,49022869,49024333
1084,CEACAM3,19,41796587,41811554
1087,CEACAM7,19,41673303,41688270
1088,CEACAM8,19,42580243,42594924
1089,CEACAM4,19,41613436,41627074
1101,CHAD,17,50464496,50468880
1102,RCBTB2,13,48488963,48535895
1103,CHAT,10,49609095,49667942
1104,RCC1,1,28506043,28538989
1105,CHD1,5,98853985,98929007
1106,CHD2,15,92900324,93027996
1107,CHD3,17,7884796,7912755
1108,CHD4,12,6570082,6607379
