,Gene/Region,"HGNC/Dosage ID",Cytoband,GRCh37,GRCh38,"HI Score","Haplo Disease","Haplo Disease ID","TS Score","Triplo Disease","Triplo Disease ID",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"11p11.2 (Potocki-Shaffer syndrome) region (includes ALX4, EXT2)",ISCA-37441,11p11.2,11:43894800-46152450,11:43873250-46130899,"3 (Sufficient Evidence)","Potocki-Shaffer syndrome",MONDO:0011022,"0 (No Evidence)",'-,'-,,,‐,‐,‐,12/12/2013
R,"11p13 (WAGR syndrome) region",ISCA-37401,11p13,11:31803509-32510988,11:31781961-32489442,"3 (Sufficient Evidence)","WAGR syndrome",MONDO:0008681,"1 (Little Evidence)",'-,'-,,,‐,‐,‐,05/24/2016
R,"11p14.1 population region (DGV_Gold_Standard_June_2021_gssvG6305)",ISCA-46659,11p14.1,11:29007150-29012087,11:28985603-28990540,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvG6192)",ISCA-46658,11p15.1,11:18940205-18963657,11:18918658-18942110,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)",ISCA-46651,11p15.1,11:18941859-18964598,11:18920312-18943051,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5919)",ISCA-46656,11p15.4,11:3239311-3360988,11:3218081-3339758,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5957)",ISCA-46657,11p15.4,11:4255965-4278463,11:4234735-4257233,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16732)",ISCA-46653,11p15.4,11:4264092-4309730,11:4242862-4288500,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)",ISCA-46654,11p15.4,11:4255449-4278126,11:4234219-4256896,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16784)",ISCA-46655,11p15.4,11:4968688-4980232,11:4947458-4959002,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)",ISCA-46649,11p15.4,11:5873984-5883499,11:5852754-5862269,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)",ISCA-46650,11p15.4,11:7809752-7834885,11:7788205-7813338,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116046)",ISCA-46454,11p15.4,11:4967746-4976658,11:4946516-4955428,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116124)",ISCA-46455,11p15.4,11:5873988-5883493,11:5852758-5862263,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116241)",ISCA-46456,11p15.4,11:7811175-7833378,11:7789628-7811831,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.5 population region (DGV_Gold_Standard_June_2021_gssvL16511)",ISCA-46652,11p15.5,11:1915245-1937002,11:1894015-1915772,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19042)",ISCA-46645,11q11,11:55445709-55457776,11:55678233-55690300,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19045)",ISCA-46646,11q11,11:55434253-55443984,11:55666777-55676508,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119505)",ISCA-46457,11q11,11:55031602-55038540,11:55264126-55271064,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119564)",ISCA-46458,11q11,11:55364275-55444015,11:55596799-55676539,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q12.2 population region (DGV_Gold_Standard_June_2021_gssvG6800)",ISCA-46660,11q12.2,11:60966146-61020399,11:61198674-61252927,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"11q13.2q13.4 recurrent region (includes SHANK2, FGFs)",ISCA-37498,11q13.2-q13.4,11:67763646-71236931,11:67996175-71525885,"2 (Emerging Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,09/27/2022
R,"11q13.4 population region (DGV_Gold_Standard_June_2021_gssvL19865)",ISCA-46647,11q13.4,11:71850646-71889330,11:72139602-72178286,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DEL_11_121860)",ISCA-46460,11q14.3,11:89762999-89783400,11:90029831-90050232,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DUP_11_33042)",ISCA-46459,11q14.3,11:89520077-89657031,11:89786909-89923863,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)",ISCA-46648,11q22.2,11:102751106-102752862,11:102880376-102882132,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)",ISCA-46665,12p11.1,12:34355893-34361543,12:34202958-34208608,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)",ISCA-46664,12p11.23,12:27647940-27654731,12:27495007-27501798,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p11.23 population region (gnomAD-SV_v2.1_DEL_12_126677)",ISCA-46465,12p11.23,12:27648141-27655163,12:27495208-27502230,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23179)",ISCA-46667,12p13.2,12:10581251-10597043,12:10428652-10444444,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)",ISCA-46661,12p13.2,12:11191681-11217625,12:11039082-11065026,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23228)",ISCA-46662,12p13.2,12:11227081-11251139,12:11074482-11098540,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23231)",ISCA-46663,12p13.2,12:11224984-11240896,12:11072385-11088297,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125567)",ISCA-46462,12p13.2,12:10581544-10597003,12:10428945-10444404,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125568)",ISCA-46463,12p13.2,12:10581599-10587675,12:10429000-10435076,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125610)",ISCA-46464,12p13.2,12:11225999-11250600,12:11073400-11098001,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7792)",ISCA-46668,12p13.31,12:8558090-8596215,12:8405494-8443619,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7850)",ISCA-46669,12p13.31,12:8361522-8391789,12:8208926-8239193,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (gnomAD-SV_v2.1_DUP_12_33971)",ISCA-46461,12p13.31,12:8361449-8390896,12:8208853-8238300,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12q12 population region (gnomAD-SV_v2.1_DEL_12_127735)",ISCA-46466,12q12,12:40874766-40876424,12:40480964-40482622,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)",ISCA-46666,12q23.3,12:105369015-105374180,12:104975237-104980402,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q12.11 population region (DGV_Gold_Standard_June_2021_gssvG9718)",ISCA-46672,13q12.11,13:21534913-21541123,13:20960774-20966984,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q12.12 recurrent region (includes SACS, SGCG)",ISCA-46298,13q12.12,13:23544582-24881361,13:22970443-24307222,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/26/2021
R,"13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)",ISCA-46670,13q21.1,13:57768508-57786942,13:57194374-57212808,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q21.33 population region (DGV_Gold_Standard_June_2021_gssvL31119)",ISCA-46671,13q21.33,13:72476988-72489787,13:71902850-71915649,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10810)",ISCA-46675,14q11.2,14:19596713-20418095,14:19010800-19832182,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10817)",ISCA-46679,14q11.2,14:20190229-20426809,14:19722070-19958650,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10827)",ISCA-46680,14q11.2,14:20335536-20423298,14:19867377-19955139,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10899)",ISCA-46681,14q11.2,14:19462329-19469848,14:18685852-18693371,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)",ISCA-46678,14q11.2,14:20190699-20425231,14:19722540-19957072,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33589)",ISCA-46677,14q11.2,14:19462304-19469872,14:18685827-18693395,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (gnomAD-SV_v2.1_DEL_14_140616)",ISCA-46467,14q11.2,14:24467999-24474000,14:23998790-24004791,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"14q11.2 region (TCRA region)",ISCA-37476,14q11.2,14:22111109-23021097,14:21642889-22552154,"40 (Dosage Sensitivity Unlikely)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/09/2015
R,"14q11.2 region including CHD8 and SUPT16H",ISCA-37438,14q11.2,14:21826900-21861987,14:21358741-21393828,"2 (Emerging Evidence)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,05/09/2012
R,"14q13.2 population region (DGV_Gold_Standard_June_2021_gssvL34350)",ISCA-46676,14q13.2,14:35605396-35615320,14:35136190-35146114,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32 region associated with UPD(14) phenotypes",ISCA-37449,14q32,14:100394594-101504529,14:99928257-101038192,"2 (Emerging Evidence)","paternal uniparental disomy of chromosome 14",MONDO:0011975,"0 (No Evidence)",'-,'-,,,‐,‐,‐,05/10/2012
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12097)",ISCA-46682,14q32.33,14:106118177-106145774,14:105651840-105679437,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12117)",ISCA-46683,14q32.33,14:106826451-106850917,14:106370520-106394986,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12133)",ISCA-46684,14q32.33,14:107147166-107164532,14:106691149-106708515,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12150)",ISCA-46685,14q32.33,14:106805092-106814699,14:106349168-106358775,"0 (No Evidence)",'-,'-,"40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37239)",ISCA-46674,14q32.33,14:106483725-106508484,:-,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37313)",ISCA-46673,14q32.33,14:107172848-107183396,14:106717601-106728149,"40 (Dosage Sensitivity Unlikely)",'-,'-,"0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
